Customer,Product Code,Product Description,Location,Trans.#,Trans.Date,Transfer Type,Qty,Price,Cost,Amount
Crowne Plaza Costa Mesa Orange County,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469274,02/06/2026,store_order,3,3.75,0.36,11.25
MainStay Suites Moreno Valley Near March Air Reserve Base,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469304,02/06/2026,store_order,3,3.25,0.36,9.75
Ayres Hotel Anaheim ,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469116,02/05/2026,store_order,7,3.50,0.36,24.50
Motel 6 Anaheim Maingate,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469117,02/05/2026,store_order,5,3.75,0.36,18.75
Vistar,PC14364,Cheez-It White Cheddar 1.5oz,,BILL/2026/0052,02/04/2026,bill,3,0.00,0.36,1.08
Vistar,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02396,02/04/2026,material_receipt,3,0.00,0.36,1.08
Behr Paint Company - Saint Andrews,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469015,02/04/2026,store_order,6,1.00,0.36,6.00
Holiday Inn Express & Suites Pasadena - Los Angeles,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469054,02/04/2026,store_order,6,3.25,0.36,19.50
Holiday Inn Oceanside Camp Pendleton Area,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468910,02/03/2026,store_order,8,3.25,0.36,26.00
Holiday Inn Express & Suites Anaheim Resort Area,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468917,02/03/2026,store_order,3,3.75,0.36,11.25
Clarion Hotel Anaheim Resort,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468919,02/03/2026,store_order,3,3.75,0.36,11.25
Crowne Plaza Costa Mesa Orange County,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468958,02/03/2026,store_order,2,3.75,0.36,7.50
SureStay Plus by Best Western Upland,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468826,02/02/2026,store_order,6,3.25,0.36,19.50
Holiday Inn Express & Suites - Barstow,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468835,02/02/2026,store_order,4,3.25,0.36,13.00
Courtyard Chino Hills,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468879,02/02/2026,store_order,4,3.75,0.36,15.00
WorldMark Palm Springs,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468895,02/02/2026,store_order,4,3.25,0.36,13.00
Hampton Inn & Suites Barstow,PC14364,Cheez-It White Cheddar 1.5oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/468897,02/02/2026,store_order,3,3.25,0.36,9.75
Vistar,PC14364,Cheez-It White Cheddar 1.5oz,,P02382,02/01/2026,purchase,135,0.00,0.36,48.60
,,,,,,TOTAL,526,36.04,11.36,$456.44
Vistar,PC14365,Ruffles Regular,,BILL/2026/0061,02/10/2026,bill,1,3.50,0.71,0.71
Vistar,PC14365,Ruffles Regular,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02436,02/10/2026,material_receipt,1,3.50,0.71,0.71
Vistar,PC14365,Ruffles Regular,,P02395,02/07/2026,purchase,64,3.50,0.71,45.44
Behr Paint Company - Saint Andrews,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469200,02/06/2026,store_order,6,1.11,0.71,6.66
Behr Paint Company - Saint Andrews,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469201,02/06/2026,store_order,3,1.11,0.71,3.33
Behr Paint Company - Midway Coatings Cantina,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469205,02/06/2026,store_order,6,1.11,0.71,6.66
Vistar,PC14365,Ruffles Regular,,BILL/2026/0052,02/04/2026,bill,6,3.50,0.71,4.26
Vistar,PC14365,Ruffles Regular,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02396,02/04/2026,material_receipt,6,3.50,0.71,4.26
Vistar Southern California,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469009,02/04/2026,store_order,12,1.49,0.71,17.88
Behr Paint Company - Saint Andrews,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469015,02/04/2026,store_order,4,1.11,0.71,4.44
Behr Paint Company - Standard,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469016,02/04/2026,store_order,3,1.11,0.71,3.33
Behr Paint Company - Garry,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469017,02/04/2026,store_order,3,1.11,0.71,3.33
Bobrick Washroom Equipment Inc,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/469042,02/04/2026,store_order,5,1.05,0.71,5.25
Long Beach Convention & Entertainment Center,PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/468824,02/02/2026,store_order,6,1.59,0.71,9.54
"Holiday Inn & Suites Anaheim, an IHG Hotel",PC14365,Ruffles Regular,Ultraserv Automated Services Transit/Stock,Ultra/INT/468840,02/02/2026,store_order,16,4.25,0.71,68.00
Vistar,PC14365,Ruffles Regular,,P02382,02/01/2026,purchase,384,3.50,0.71,272.64
,,,,,,TOTAL,248,0.00,2.70,$111.60
Vistar,PC14366,Famous Amos Chocolate Chip Cookie,,BILL/2026/0061,02/10/2026,bill,2,0.00,0.45,0.90
Vistar,PC14366,Famous Amos Chocolate Chip Cookie,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02436,02/10/2026,material_receipt,2,0.00,0.45,0.90
